year,latitude,longitude,depth,mag
2008,36.755,96.449,17.9,5.1
2008,36.418,70.315,224.6,4.2
2008,34.668,73.239,39.1,4.2
2008,6.88,94.756,137.7,5
2008,36.497,70.894,182,4.1
2008,36.351,71.348,96.9,4.8
2008,21.122,94.556,121.2,4.1
2008,36.354,71.325,149.8,4.2
2008,6.123,95.447,200,3.7
2008,36.398,76.959,98.2,4.2
2008,24.899,94.656,79.6,4
2008,30.419,67.88,10,3.9
2008,36.45,71.321,136.3,4.6
2008,4.58,96.061,35,4.2
2008,36.957,69.587,68.4,3.6
2008,36.46,70.505,191,4.6
2008,35.267,81.373,33.3,4.9
2008,35.411,81.306,10,3.5
2008,35.189,81.255,10,4.7
2008,35.313,81.409,10,5
2008,35.358,81.101,12,3.3
2008,36.031,71.008,92.3,4.3
2008,7.665,92.217,43.1,5.1
2008,36.635,70.798,205.3,4
2008,36.496,70.867,189.2,4.4
2008,36.414,71.447,90.7,4.6
2008,8.501,93.074,35,4.3
2008,6.633,68.636,10,4.4
2008,29.948,82.051,35.6,5.3
2008,32.758,90.18,10,3.6
2008,4.569,93.403,36.3,5
2008,30.713,83.105,10,4.1
2008,37.068,71.968,129,4.7
2008,6.574,95.158,220.6,4.3
2008,37.102,72.269,110.3,4.7
2008,36.281,71.106,104.9,3.6
2008,8.613,93.917,25.5,4.1
2008,8.723,93.984,38.2,5.3
2008,8.71,93.971,41.8,4.6
2008,8.74,94.079,28.3,5.2
2008,36.216,70.19,140,4.2
2008,23.135,93.645,73.9,4.2
2008,29.098,87.956,10,3.4
2008,4.175,96.606,106.1,4.3
2008,37.095,71.993,186.7,4.2
2008,30.57,83.365,10,4
2008,7.473,93.871,44.5,4
2008,36.942,71.825,122.9,3.8
2008,36.616,71.077,212.5,4.7
2008,36.488,70.348,198.4,3.6
2008,34.707,80.007,10,3.8
2008,36.479,71.238,100.7,3.5
2008,36.2,71.7,10,3.8
2008,30.044,67.879,10,3.8
2008,29.935,68.048,10,4.4
2008,27.373,88.051,24.7,5.2
2008,33.449,97.643,10,3.7
2008,34.228,93.232,10,3.6
2008,36.475,70.743,177.9,3.8
2008,30.477,67.771,10,3.5
2008,35.975,69.262,10,4.9
2008,30.401,69.818,10,3.9
2008,22.824,94.049,87.1,4.6
